r3000,r5000,noxevent,r2000,coevent,system_time,gps_time,latitude,longitude
25,37,99,35,3,2018-03-06 14:30:44.396748,14:30:44,52.56516083333333,13.409419166666666
25,37,99,35,3,2018-03-06 14:30:45.431787,14:30:45,52.565171666666664,13.409417333333334
31,42,3,40,3,2018-03-06 14:31:50.326854,14:31:50,52.5651325,13.409320666666666
31,42,3,40,3,2018-03-06 14:31:51.362723,14:31:51,52.5651305,13.409322666666666
31,42,3,40,3,2018-03-06 14:31:52.407028,14:31:52,52.56513016666667,13.409324833333333
31,42,3,40,3,2018-03-06 14:31:53.422206,14:31:53,52.56513116666667,13.409328666666667
31,42,3,40,3,2018-03-06 14:31:54.471450,14:31:54,52.56512983333333,13.40933
31,42,3,40,3,2018-03-06 14:31:55.514721,14:31:55,52.5651305,13.409333166666666
31,42,3,40,3,2018-03-06 14:31:56.598807,14:31:56,52.565128,13.409335333333333
31,42,3,40,3,2018-03-06 14:31:57.649857,14:31:57,52.565126666666664,13.409337333333333
31,42,3,40,3,2018-03-06 14:31:58.690170,14:31:58,52.56512766666667,13.4093405
31,42,3,40,3,2018-03-06 14:31:59.725752,14:31:59,52.565131,13.409344666666666
31,42,3,40,3,2018-03-06 14:32:00.748561,14:32:00,52.565132166666665,13.409348
31,42,3,40,3,2018-03-06 14:32:01.784112,14:32:01,52.56513533333333,13.409351333333333
31,42,3,40,3,2018-03-06 14:32:02.798249,14:32:02,52.565136833333334,13.409353333333334
31,42,3,40,3,2018-03-06 14:32:03.816219,14:32:03,52.565140666666665,13.409356666666667
31,42,3,40,3,2018-03-06 14:32:04.830882,14:32:04,52.56514416666667,13.409359833333333
31,42,3,40,3,2018-03-06 14:32:05.881854,14:32:05,52.5651475,13.409363333333333
31,42,3,40,3,2018-03-06 14:32:06.902133,14:32:06,52.5651495,13.409366666666667
31,42,3,40,3,2018-03-06 14:32:07.926677,14:32:07,52.565152833333336,13.40937
31,42,3,40,3,2018-03-06 14:32:08.996542,14:32:08,52.5651575,13.409374
31,42,3,40,3,2018-03-06 14:32:10.058251,14:32:09,52.565162,13.409379666666666
31,42,3,40,3,2018-03-06 14:32:11.074839,14:32:11,52.565170333333334,13.409386833333333
31,42,3,40,3,2018-03-06 14:32:12.117718,14:32:12,52.56517516666667,13.409390166666666
31,42,3,40,3,2018-03-06 14:32:13.232591,14:32:13,52.56518033333333,13.409393333333334
31,42,3,40,3,2018-03-06 14:32:14.301033,14:32:14,52.56518483333333,13.409396333333333
31,42,3,40,3,2018-03-06 14:32:15.700483,14:32:15,52.56518883333333,13.409398333333334
31,42,3,40,3,2018-03-06 14:32:17.027152,14:32:16,52.56519216666667,13.409400666666667
31,42,3,40,3,2018-03-06 14:32:18.065514,14:32:17,52.5651965,13.409404
31,42,3,40,3,2018-03-06 14:32:19.205545,14:32:19,52.565200833333336,13.409408666666666
